target_return,expected_return,volatility,variance
0.0619837676497777,0.06198376764977771,0.18912957459792867,0.03576999598759347
0.07127836633979412,0.07127836633979412,0.18920167053345494,0.03579727213265003
0.08057296502981055,0.08057296502981055,0.18941779338392425,0.03587910045043502
0.08986756371982697,0.08986756371982699,0.18978330503418522,0.03601770286969859
0.09916216240984341,0.09916216240984342,0.19051495238215424,0.03629594708117449
0.10845676109985983,0.10845676109985984,0.1917181166833264,0.03675583626460155
0.11775135978987625,0.11775135978987628,0.1933839973213392,0.03739737041997973
0.1270459584798927,0.1270459584798927,0.1955007661041487,0.038220549547309066
0.13634055716990912,0.13634055716990914,0.19805396650052112,0.03922537364658954
0.14563515585992554,0.14563515585992556,0.20102697012545642,0.04041184271782115
0.15492975454994196,0.15492975454994198,0.20440145978197885,0.04177995676100392
0.16422435323995838,0.16422435323995843,0.20815791067393483,0.043329715776137825
0.1735189519299748,0.17351895192997485,0.21227604613621118,0.04506111976322286
0.18281355061999122,0.18281355061999124,0.216735250299205,0.04697416872225904
0.19210814931000766,0.19210814931000766,0.22151492647956336,0.049068862653246365
0.20140274800002408,0.20140274800002414,0.22659479596006799,0.05134520155618484
0.2106973466900405,0.2106973466900405,0.23195513667749296,0.05380318543107444
0.21999194538005692,0.21999194538005695,0.2375769649564435,0.056442814277915185
0.22928654407007334,0.22928654407007337,0.24344216581501874,0.05926408809670708
0.2385811427600898,0.23858114276008982,0.24953357867719955,0.062267006887450134
0.2478757414501062,0.24787574145010624,0.2558350457817386,0.06545157065014429
0.25717034014012263,0.25717034014012263,0.26233143041730556,0.06881777938478961
0.26646493883013905,0.2664649388301391,0.26900861155618433,0.07236563309138606
0.2757595375201555,0.27575953752015553,0.2758534606814525,0.07609513176993365
0.2850541362101719,0.2850541362101719,0.2828538057379332,0.08000627542043243
0.2943487349001883,0.29434873490018837,0.2899983862763417,0.0840990640428823
0.3036433335902048,0.3036433335902048,0.2972768030595111,0.08837349763728336
0.3129379322802212,0.31293793228022126,0.3046794646897548,0.09282957620363555
0.32223253097023763,0.3222325309702377,0.3121975332092469,0.09746729974193882
0.33152712966025405,0.33152712966025405,0.3198228701206236,0.10228666825219326
0.34082172835027047,0.3408217283502705,0.32754798386556866,0.10728768173439884
0.3501163270402869,0.3501163270402869,0.33536597947400026,0.11247034018855558
0.3594109257303033,0.35941092573030337,0.3432705108433631,0.11783464361466346
0.36870552442031973,0.3687055244203198,0.35125573591433706,0.12338059201272251
0.37800012311033615,0.3780001231103362,0.3593162748648225,0.12910818538273267
0.38729472180035257,0.3872947218003526,0.36744717133853944,0.13501742372469394
0.396589320490369,0.396589320490369,0.3758232389363972,0.14124310692464428
0.4058839191803854,0.40588391918038547,0.3850727032538063,0.148280986791194
0.4151785178704019,0.41517851787040194,0.3951924301706445,0.1561770568641797
0.4244731165604183,0.4244731165604184,0.40611736868004233,0.16493131714360143
