AAPL,CX,TSLA,BTC-USD,MCD
0.03460353494233764,0.0616558528246717,1.3178788836026543e-23,0.1531106561118005,0.7506299561211902
0.022302284203896867,0.07174140841962447,2.707025462185587e-23,0.15631804857930115,0.7496382587971776
0.010001033465455994,0.08182696401457722,4.4625083642562605e-24,0.15952544104680177,0.7486465614731651
-5.529467410709954e-24,0.0943518522958484,-2.0289726647184442e-23,0.16210322040933858,0.743544927294813
4.186912534529959e-25,0.11748262903634088,5.031006275674941e-24,0.161943527183096,0.7205738437805631
-2.3618527252427785e-23,0.14061340577683332,-2.408546451365832e-23,0.1617838339568534,0.6976027602663133
7.97340728659386e-24,0.16374418251732575,-2.3335209135644664e-23,0.16162414073061074,0.6746316767520635
-8.608133424523112e-24,0.18687495925781827,5.617288299259763e-25,0.16146444750436809,0.6516605932378136
-1.7698740109580658e-23,0.21000573599831074,-1.4107847240855134e-23,0.1613047542781255,0.6286895097235637
-1.9119321978830984e-23,0.23313651273880312,2.7183232211842777e-24,0.16114506105188292,0.6057184262093139
-1.674821310670188e-24,0.2562672894792956,-1.9444419359325647e-23,0.16098536782564027,0.5827473426950641
-8.226446773779641e-23,0.279398066219788,-6.748177711890548e-23,0.16082567459939773,0.5597762591808143
-1.3715532172036793e-24,0.3025288429602805,1.5921370467049978e-23,0.1606659813731551,0.5368051756665644
3.333217681834112e-23,0.3256596197007729,1.4615584846656405e-23,0.16050628814691245,0.5138340921523147
1.3463207784257143e-23,0.34879039644126536,2.2147667867670268e-23,0.16034659492066983,0.4908630086380648
3.290000246600002e-23,0.3719211731817578,3.1355446718525616e-26,0.16018690169442726,0.46789192512381506
5.2222855702922095e-24,0.39505194992225023,1.0422771341636365e-23,0.16002720846818463,0.44492084160956513
1.4522670832668496e-23,0.41818272666274264,-1.548881144208919e-23,0.15986751524194204,0.4219497580953153
-2.3068161008767675e-23,0.44131350340323516,-8.460553445238836e-23,0.15970782201569939,0.39897867458106545
1.1821206647518244e-24,0.4644442801437277,5.790338253427118e-23,0.15954812878945676,0.3760075910668156
1.2367548037713812e-23,0.48757505688422004,1.020595187324979e-23,0.1593884355632142,0.35303650755256577
5.0301253578883394e-23,0.5107058336247124,7.801665467537168e-23,0.15922874233697162,0.33006542403831596
8.844144282258583e-23,0.5338366103652049,8.900053622944509e-24,0.15906904911072894,0.30709434052406615
-2.1156692680125035e-23,0.5569673871056974,-7.825953769658887e-23,0.15890935588448635,0.2841232570098162
2.3522443054318053e-23,0.5800981638461898,9.03482385310228e-23,0.1587496626582437,0.2611521734955665
9.305492064495355e-23,0.6032289405866823,6.875243187968599e-23,0.1585899694320011,0.23818108998131657
-2.676907654298127e-24,0.6263597173271749,7.834441411354706e-23,0.15843027620575847,0.21521000646706667
-1.538150472015511e-23,0.6494904940676673,-5.066157368810204e-23,0.15827058297951588,0.1922389229528168
-3.7479457118118987e-23,0.6726212708081597,3.417528740222634e-23,0.1581108897532733,0.169267839438567
-3.8277351395136317e-23,0.695752047548652,-2.83630997246623e-23,0.15795119652703066,0.14629675592431723
4.250016701631156e-23,0.7188828242891446,-6.077325743513458e-23,0.15779150330078798,0.1233256724100674
-4.989268914587857e-23,0.742013601029637,-5.1398449878338117e-23,0.15763181007454544,0.10035458889581758
5.440511338554569e-24,0.7651443777701294,-1.5085288413191034e-24,0.15747211684830284,0.07738350538156769
-8.02600113810894e-24,0.7882751545106219,-5.486681366112634e-23,0.15731242362206022,0.05441242186731791
8.700911171775401e-23,0.8114059312511144,4.1439249556887327e-23,0.15715273039581756,0.031441338353068046
1.5194156499107036e-22,0.8345367079916067,9.803980816388472e-23,0.15699303716957505,0.008470254838818218
2.077637961833349e-23,0.8703475078477996,3.363572329227317e-23,0.12965249215220034,1.308548755264592e-23
8.902877602002951e-23,0.9135649897327278,-1.0470419562286467e-23,0.08643501026727214,1.6127500295433718e-24
-1.3685931272437348e-23,0.9567824716176563,-7.88555279522674e-23,0.043217528382343676,-9.135079491079881e-23
-7.828480052465658e-22,0.9999999535025847,-7.011806839428147e-22,4.6497415219906455e-08,-4.201761552592797e-22
